location_id,region_id,name_en,name_hans,name_hant,name_jp
1,1,Celadon City,玉虹市,玉虹市,タマムシシティ
2,1,Cerulean City,华蓝市,華藍市,ハナダシティ
3,1,Cinnabar Island,红莲镇,紅蓮鎮,グレンタウン
4,1,Fuchsia City,浅红市,淺紅市,セキチクシティ
5,1,Lavender Town,紫苑镇,紫苑鎮,シオンタウン
6,1,Pallet Town,真新镇,真新鎮,マサラタウン
7,1,Pewter City,深灰市,深灰市,ニビシティ
8,1,Saffron City,金黄市,金黃市,ヤマブキシティ
9,1,Vermilion City,枯叶市,枯葉市,クチバシティ
10,1,Viridian City,常青市,常青市,トキワシティ
11,1,Cerulean Cave,华蓝洞窟,华蓝洞窟,ハナダの洞窟
12,1,Celadon Department Store,玉虹百货公司,玉虹百貨公司,タマムシデパート
13,1,Cycling Road,自行车道,自行車道,サイクリングロード
14,1,Diglett's Cave,地鼠洞穴,地鼠洞穴,ディグダの穴
15,1,Indigo Plateau,石英高原,石英高原,セキエイこうげん
16,1,Mt. Moon,月见山,月見山,お月見山
17,1,Mt. Moon Square,月見山廣場,月見山廣場,おつきみやまひろば
18,1,Pokémon League Reception Gate,寶可夢聯盟大門,寶可夢聯盟大門,ポケモンリーグうけつけゲート
19,1,Pokémon Mansion,宝可梦屋,寶可夢屋,ポケモン屋敷
20,1,Pokémon Tower,宝可梦塔,寶可夢塔,ポケモンタワー
21,1,Power Plant,发电厂,發電場,発電所
22,1,Rock Tunnel,岩山隧道,岩山隧道,イワヤマトンネル
23,1,Safari Zone,狩猎地带,狩獵地帶,サファリゾーン
24,1,Sea Cottage,海角小屋,海角小屋,岬の小屋
25,1,Seafoam Islands,双子岛,雙子島,ふたご島
26,1,Silence Bridge,寂静桥,寂靜橋,サイレンズブリッジ
27,1,Silph Co.,西尔佛公司,西爾佛公司,シルフカンパニー
28,1,S.S. Anne,圣特安努号,聖特安努號,サント・アンヌ号
29,1,Tohjo Falls,都城瀑布,都城瀑布,トージョウの滝
30,1,Underground Path,地下通道,地下通道,地下通路
31,1,Victory Road,冠军之路,冠軍之路,チャンピオンロード
32,1,Viridian Forest,常青森林,常青森林,トキワの森
33,2,Azalea Town,檜皮鎮,檜皮鎮,ヒワダタウン
34,2,Blackthorn City,烟墨市,煙墨市,フスベシティ
35,2,Cianwood City,湛蓝市,湛藍市,タンバシティ
36,2,Ecruteak City,緣朱市,緣朱市,エンジュシティ
37,2,Goldenrod City,满金市,滿金市,コガネシティ
38,2,Mahogany Town,卡吉镇,卡吉鎮,チョウジタウン
39,2,New Bark Town,若葉鎮,若葉鎮,ワカバタウン
40,2,Olivine City,浅葱市,淺蔥市,アサギシティ
41,2,Violet City,桔梗市,桔梗市,キキョウシティ
42,2,Battle Frontier,對戰開拓區,對戰開拓區,バトルフロンティア
43,2,Battle Tower,對戰塔,對戰塔,バトルタワー
44,2,Burned Tower,燒焦塔,燒焦塔,やけたとう
45,2,Cliff Cave,斷崖洞窟,斷崖洞窟,だんがいのどうくつ
46,2,Dark Cave,黑暗穴,黑暗穴,くらやみのほらあな
47,2,Dragon's Den,龍之洞窟,龍之洞窟,りゅうのあな
48,2,Glitter Lighthouse,光輝燈塔,光輝燈塔,かがやきのとうだい
49,2,Ice Path,冰雪通路,冰雪通路,こおりのぬけみち
50,2,Ilex Forest,桐樹林,桐樹林,ウバメの森
51,2,Lake of Rage,憤怒之湖,憤怒之湖,いかりのみずうみ
52,2,Moomoo Farm,摩摩牧場,摩摩牧場,モーモーぼくじょう
53,2,Mt. Mortar,研缽山,研缽山,スリバチ山
54,2,Mt. Silver,白銀山,白銀山,シロガネ山
55,2,National Park,自然公園,自然公園,しぜんこうえん
56,2,Pokéathlon Dome,寶可夢全能競技賽巨蛋,寶可夢全能競技賽巨蛋,ポケスロンドーム
57,2,Radio Tower,廣播電台,廣播電台,ラジオ塔
58,2,Ruins of Alph,阿露福遺跡,阿露福遺跡,アルフの遺跡
59,2,Sinjoh Ruins,神都遺跡,神都遺跡,シントいせき
60,2,Slowpoke Well,呆呆獸之井,呆呆獸之井,ヤドンのいど
61,2,Sprout Tower,喇叭芽之塔,喇叭芽之塔,マダツボミのとう
62,2,Bell Tower,鈴鈴塔,鈴鈴塔,スズのとう
63,2,Union Cave,互連洞,互連洞,つながりのどうくつ
64,2,Whirl Islands,漩渦列島,漩渦列島,うずまきじま
65,3,Dewford Town,武斗镇,武鬥鎮,ムロタウン
66,3,Ever Grande City,彩悠市,彩悠市,サイユウシティ
67,3,Fallarbor Town,秋叶镇,秋葉鎮,ハジツゲタウン
68,3,Fortree City,茵郁市,茵鬱市,ヒワマキシティ
69,3,Lavaridge Town,釜炎镇,釜炎鎮,フエンタウン
70,3,Lilycove City,水静市,水靜市,ミナモシティ
71,3,Littleroot Town,未白镇,未白鎮,ミシロタウン
72,3,Mauville City,紫堇市,紫堇市,キンセツシティ
73,3,Mossdeep City,绿岭市,綠嶺市,トクサネシティ
74,3,Oldale Town,古玫镇,古玫鎮,コトキタウン
75,3,Pacifidlog Town,暮水镇,暮水鎮,キナギタウン
76,3,Petalburg City,橙华市,橙華市,トウカシティ
77,3,Rustboro City,卡那兹市,卡那茲市,カナズミシティ
78,3,Slateport City,凯那市,凱那市,カイナシティ
79,3,Sootopolis City,琉璃市,琉璃市,ルネシティ
80,3,Verdanturf Town,绿茵镇,綠茵鎮,シダケタウン
81,3,Abandoned Ship,棄船,棄船,すてられ船
82,3,Ancient Tomb,古代墳墓,古代墳墓,古代塚
83,3,Artisan Cave,工匠之穴,工匠之穴,アトリエのあな
84,3,Battle Frontier,對戰開拓區,對戰開拓區,バトルフロンティア
85,3,Cave of Origin,醒吾祠堂,醒吾祠堂,目覚めのほこら
86,3,Desert Ruins,沙漠遺跡,沙漠遺跡,砂漠遺跡
87,3,Desert Underpass,沙漠的地下道,沙漠的地下道,さばくのちかどう
88,3,Fiery Path,熱焰小徑,熱焰小徑,炎の抜け道
89,3,Granite Cave,石之洞窟,石之洞窟,石の洞窟
90,3,Jagged Pass,碎石山路,碎石山路,デコボコ山道
